816,1231,817,1,1
826,1166,860,3,0
836,1163,837,2,1
849,1178,848,1,2
851,1159,885,3,0
858,1166,892,3,0
870,1163,871,2,1
892,1166,926,3,0
904,1163,905,2,1
907,1204,941,3,0
930,1163,964,3,0
934,1228,968,3,0
946,1159,980,3,0
963,1163,997,3,0
979,1159,1013,3,0
993,1196,1027,3,0
1011,1159,1045,3,0
1027,1179,1061,3,0
1043,1230,1044,2,1
1045,1159,1079,3,0
1061,1163,1095,3,0
1095,1163,1129,3,0
1122,1232,1232,4,0
1127,1163,1128,2,1
1140,1232,1141,2,1
1147,1240,1113,0,3
1158,1166,217,0,4
1159,1173,699,0,4
1159,1175,235,0,4
1159,1181,699,0,4
1159,1182,699,0,4
1159,1190,302,0,4
1159,1198,235,0,4
1159,1201,699,0,4
1159,1202,699,0,4
1159,1203,235,0,4
1159,1204,699,0,4
1159,1219,699,0,4
1159,1242,699,0,4
1159,1251,699,0,4
1160,1169,81,0,4
1161,1239,1090,0,4
1163,1159,649,0,4
1163,1161,649,0,4
1163,1165,649,0,4
1163,1168,351,0,4
1163,1174,284,0,4
1163,1176,649,0,4
1163,1185,649,0,4
1163,1188,649,0,4
1163,1193,649,0,4
1163,1212,649,0,4
1163,1213,649,0,4
1163,1216,649,0,4
1163,1218,649,0,4
1163,1220,649,0,4
1163,1226,649,0,4
1163,1230,649,0,4
1163,1232,649,0,4
1163,1239,649,0,4
1163,1244,649,0,4
1163,1246,649,0,4
1163,1248,649,0,4
1163,1250,649,0,4
1163,1253,649,0,4
1166,1156,579,0,4
1166,1158,149,0,4
1166,1161,546,0,4
1166,1162,546,0,4
1166,1163,546,0,4
1166,1176,546,0,4
1166,1179,546,0,4
1166,1187,546,0,4
1166,1189,546,0,4
1166,1196,148,0,4
1166,1199,579,0,4
1166,1207,149,0,4
1166,1209,546,0,4
1166,1211,579,0,4
1166,1216,546,0,4
1166,1218,546,0,4
1166,1221,579,0,4
1166,1223,579,0,4
1166,1224,546,0,4
1166,1232,546,0,4
1166,1237,579,0,4
1166,1239,546,0,4
1166,1241,579,0,4
1166,1243,148,0,4
1166,1248,546,0,4
1166,1249,579,0,4
1167,1169,47,0,4
1168,1163,598,0,4
1168,1221,266,0,4
1168,1222,300,0,4
1169,1160,81,0,4
1169,1167,81,0,4
1169,1170,81,0,4
1169,1195,81,0,4
1169,1200,81,0,4
1169,1205,81,0,4
1169,1208,81,0,4
1169,1210,81,0,4
1169,1214,81,0,4
1169,1217,81,0,4
1169,1235,81,0,4
1169,1236,81,0,4
1170,1249,310,0,4
1174,1163,268,0,4
1175,1159,182,0,4
1175,1196,614,0,4
1179,1221,283,0,4
1186,1246,544,0,4
1189,1234,616,0,4
1190,1159,506,0,4
1191,1246,612,0,4
1191,1255,579,0,4
1196,1166,182,0,4
1196,1175,614,0,4
1198,1159,182,0,4
1203,1159,182,0,4
1204,1227,612,0,4
1206,1210,199,0,4
1207,1166,217,0,4
1208,1169,1135,0,4
1210,1206,174,0,4
1211,1166,580,0,4
1211,1167,580,0,4
1211,1228,580,0,4
1214,1169,81,0,4
1217,1169,81,0,4
1221,1166,648,0,4
1221,1168,250,0,4
1221,1179,283,0,4
1224,1238,549,0,4
1227,1204,408,0,4
1229,1157,144,0,4
1229,1160,144,0,4
1229,1161,144,0,4
1229,1164,144,0,4
1229,1165,144,0,4
1229,1166,144,0,4
1229,1167,144,0,4
1229,1169,144,0,4
1229,1170,144,0,4
1229,1176,144,0,4
1229,1180,144,0,4
1229,1182,144,0,4
1229,1183,144,0,4
1229,1184,144,0,4
1229,1185,144,0,4
1229,1186,144,0,4
1229,1188,144,0,4
1229,1190,144,0,4
1229,1191,144,0,4
1229,1192,144,0,4
1229,1193,144,0,4
1229,1194,144,0,4
1229,1195,144,0,4
1229,1200,144,0,4
1229,1204,144,0,4
1229,1205,144,0,4
1229,1208,144,0,4
